Date	Italy
2019-06-23	0.116666666667
2019-06-24	0.156666666667
2019-06-25	0.156666666667
2019-06-26	0.09
2019-06-27	0.09
2019-06-28	0.04
2019-06-29	0.04
2019-06-30	0.0333333333333
2019-07-01	0.0
2019-07-02	0.0
2019-07-03	0.0
2019-07-04	0.0
2019-07-05	0.0
2019-07-06	0.0
2019-07-07	0.0
2019-07-08	0.0
2019-07-09	0.0
2019-07-10	0.0
2019-07-11	0.0
2019-07-12	0.0
2019-07-13	0.0
2019-07-14	0.0833333333333
2019-07-15	0.0833333333333
2019-07-16	0.0833333333333
2019-07-17	0.0833333333333
2019-07-18	0.0833333333333
2019-07-19	0.0833333333333
2019-07-20	0.0833333333333
2019-07-21	0.0
2019-07-22	0.0
2019-07-23	0.0
2019-07-24	0.0
2019-07-25	0.0
2019-07-26	0.0
2019-07-27	0.0
2019-07-28	0.0833333333333
2019-07-29	0.0833333333333
2019-07-30	0.0833333333333
2019-07-31	0.0833333333333
2019-08-01	0.0833333333333
2019-08-02	0.0833333333333
2019-08-03	0.0714285714286
2019-08-04	0.0
2019-08-05	0.0
2019-08-06	0.0204081632653
2019-08-07	0.0204081632653
2019-08-08	0.0204081632653
2019-08-09	0.0279269602578
2019-08-10	0.0279269602578
2019-08-11	0.0279269602578
2019-08-12	0.0279269602578
2019-08-13	0.00751879699248
2019-08-14	0.00751879699248
2019-08-15	0.00751879699248
2019-08-16	0.0
2019-08-17	0.0
2019-08-18	0.0
2019-08-19	0.0
2019-08-20	0.0
2019-08-21	0.0138248847926
2019-08-22	0.0138248847926
2019-08-23	0.0138248847926
2019-08-24	0.0138248847926
2019-08-25	0.0138248847926
2019-08-26	0.0138248847926
2019-08-27	0.0222282461372
2019-08-28	0.00840336134454
2019-08-29	0.00840336134454
2019-08-30	0.00840336134454
2019-08-31	0.00840336134454
2019-09-01	0.0560224089636
2019-09-02	0.0560224089636
2019-09-03	0.047619047619
2019-09-04	0.047619047619
2019-09-05	0.0793650793651
2019-09-06	0.0793650793651
2019-09-07	0.0793650793651
2019-09-08	0.031746031746
2019-09-09	0.0793650793651
2019-09-10	0.0793650793651
2019-09-11	0.0793650793651
2019-09-12	0.047619047619
2019-09-13	0.047619047619
2019-09-14	0.0555555555556
2019-09-15	0.0555555555556
2019-09-16	0.0333333333333
2019-09-17	0.0333333333333
2019-09-18	0.0333333333333
2019-09-19	0.0333333333333
2019-09-20	0.0333333333333
2019-09-21	0.0333333333333
2019-09-22	0.0333333333333
2019-09-23	0.0
2019-09-24	0.0
2019-09-25	0.0
2019-09-26	0.0
2019-09-27	0.0
2019-09-28	0.0
2019-09-29	0.0
2019-09-30	0.0
2019-10-01	0.0
2019-10-02	0.0
2019-10-03	0.0
2019-10-04	0.0
2019-10-05	0.0
2019-10-06	0.0
2019-10-07	0.0
2019-10-08	0.0
2019-10-09	0.0
